,expected_value_600,expected_value_1200,expected_value_1800,expected_value_2400,expected_value_3000,Score
5002001007,1.73,0,0,0.904615247,0.991181727,3.625796974
5002001018,1.73,0,0,0.904615247,0.991181727,3.625796974
5002002018,1.63,0,0,0.935847598,0,2.565847598
5002002008,1.63,0,0,0.935847598,0,2.565847598
5002002023,1.63,0,0,0.935847598,0,2.565847598
5002002020,1.63,0,0,0.935847598,0.994493539,3.560341137
5002002011,1.63,0,0.883219081,0,0.994493539,3.50771262
5002002019,1.63,0,0,0.935847598,0,2.565847598
5002002021,1.63,0,0,0.935847598,0,2.565847598
5002002022,1.63,0,0,0.935847598,0,2.565847598
5002002009,1.63,0,0,0.935847598,0.994493539,3.560341137
5001003023,0,0,0,0,0,0
5001003023,0,0,0,0,0,0
5001003023,0,0,0,0,0,0
5001003023,0,0,0,0,0,0
5001003023,0,0,0,0,0,0
5002001020,0,0,0.443545898,0,0.836697248,1.280243146
5002001020,0,0,0,0,0,0
5002001020,0,0,0,0,0.996738996,0.996738996
5002001020,0,0.820635654,0,0.935847598,0.994493539,2.750976791
5002001020,0,0.736676232,0.833436341,0,0.991181727,2.5612943
5003002016,0,0,0,0,0,0
5003002016,0,0,0,0,0,0
5003002016,0,2.664464025,0,0,0,2.664464025
5003002016,0,0,0,0,0,0
5003002016,0,0,0,0,0.991181727,0.991181727
5003002012,0,0,0,0,0,0
5003002012,0,0,0,0,0,0
5003002012,0,0.888154675,1.846178374,0,0,2.734333049
5003002012,0,0,0,0,0,0
5003002012,0,0,0,0.904615247,0,0.904615247
5002002018,0,0,0,0.49626506,0,0.49626506
5002002018,0,0,0,0,0,0
5002002018,0,0,0,0,0,0
5002002018,0,0,0.833436341,0.904615247,0.991181727,2.729233315
5002002008,0,0,0,0.49626506,0.418348624,0.914613684
5002002008,0,0,0,0,0,0
5002002008,0,0,0,0,0,0
5002002008,0,0,0.833436341,0.904615247,0.991181727,2.729233315
5003001010,0,0,0,0,0,0
5003001010,0,0,0,0,0,0
5003001010,0,0,0,0.953866933,1.993477992,2.947344925
5003001010,0,0,0,0,0,0
5003001010,0,0,0,0.904615247,0,0.904615247
5003001020,0,0,0,0,0,0
5003001020,0,0,0,0,0,0
5003001020,0,0,1.846178374,0.953866933,0,2.800045307
5003001020,0,0,0,0,0,0
5003001020,0,0,0,0,0,0
5001001004,0,0,0,0,0,0
5001001004,0,0,0,0,0,0
5001001004,0,0,0,0,0,0
5001001004,0,0,0,0,0,0
5001001004,0,0,0,0,0,0
5002002023,0,0,0,0.49626506,0,0.49626506
5002002023,0,0,0,0,0,0
5002002023,0,0,0,0,0,0
5002002023,0,0,0,0.904615247,1.982363454,2.886978701
5003002010,0,0,0,0,0,0
5003002010,0,0,0,0,0,0
5003002010,0,0,2.769267561,0,0,2.769267561
5003002010,0,0,0,0,0,0
5003002010,0,0,0,0,0,0
5002002020,0,0,0,0.49626506,0.418348624,0.914613684
5002002020,0,0,0,0,0,0
5002002020,0,0,0,0,0,0
5002002020,0,0,0,2.713845741,0,2.713845741
5002002011,0,0,0.443545898,0,0.418348624,0.861894522
5002002011,0,0,0,0,0,0
5002002011,0,0,0,0,0,0
5002002011,0,0,0.833436341,1.809230494,0.991181727,3.633848562
5001003012,0,0,0,0,0,0
5001003012,0,0,0,0,0,0
5001003012,0,0,0,0,0,0
5001003012,0,0,0,0,0,0
5001003012,0,0,0,0,0,0
5001004017,0,0,0,0,0,0
5001004017,0,0,0,0,0,0
5001004017,0,0,0,0,0,0
5001004017,0,0,0,0,0,0
5001004017,0,0,0,0,0,0
5002001019,0,0,0,0.49626506,0.836697248,1.332962308
5002001019,0,0,0,0,0,0
5002001019,0,0,0,0,0.996738996,0.996738996
5002001019,0,0,0.883219081,0.935847598,0.994493539,2.813560218
5002001019,0,0.736676232,0,0.904615247,0.991181727,2.632473206
5001004015,0,0,0,0,0,0
5001004015,0,0,0,0,0,0
5001004015,0,0,0,0,0,0
5001004015,0,0,0,0,0,0
5001004015,0,0,0,0,0.991181727,0.991181727
5003002000,0,0,0,0,0,0
5003002000,0,0,0,0,0,0
5003002000,0,0,0.923089187,0.953866933,0.996738996,2.873695116
5003002000,0,0,0,0,0,0
5003002000,0,0,0,0.904615247,0,0.904615247
5001002017,0,0,0,0,0,0
5001002017,0,0,0,0,0,0
5001002017,0,0,0,0,0,0
5001002017,0,0,0,0,0,0
5001002017,0,0,0,0,0,0
5001004030,0,0,0,0,0,0
5001004030,0,0,0,0,0,0
5001004030,0,0,0,0,0,0
5001004030,0,0,0,0,0,0
5001004030,0,0,0,0.904615247,0,0.904615247
5002002005,0,0,0,0,0,0
5002002005,0,0,0,0,0,0
5002002005,0,0,0,0,0,0
5002002005,0,0,0,0.935847598,0,0.935847598
5002002005,0,0,0,0,0,0
5001003024,0,0,0,0,0,0
5001003024,0,0,0,0,0,0
5001003024,0,0,0,0,0,0
5001003024,0,0,0,0,0,0
5001003024,0,0,0,0,0,0
5001002014,0,0,0,0,0,0
5001002014,0,0,0,0,0,0
5001002014,0,0,0,0,0,0
5001002014,0,0,0,0,0,0
5001002014,0,0,0,0,0,0
5003002023,0,0,0,0,0,0
5003002023,0,0,0,0,0,0
5003002023,0,1.77630935,0.923089187,0,0,2.699398537
5003002023,0,0,0,0,0,0
5003002023,0,0,0,0,0,0
5003001013,0,0,0,0,0,0
5003001013,0,0,0,0,0,0
5003001013,0,0,0,2.861600799,0,2.861600799
5003001013,0,0,0,0,0,0
5003001013,0,0,0,0,0,0
5001001016,0,0,0,0,0,0
5001001016,0,0,0,0,0,0
5001001016,0,0,0,0,0,0
5001001016,0,0,0,0,0,0
5001001016,0,0,0,0,0,0
5001003006,0,0,0,0,0,0
5001003006,0,0,0,0,0,0
5001003006,0,0,0,0,0,0
5001003006,0,0,0,0,0,0
5001003006,0,0,0,0,0,0
5002001014,0,0,0,0,0.418348624,0.418348624
5002001014,0,0,0,0,0,0
5002001014,0,0,0,0,0,0
5002001014,0,0,0,0.935847598,0.994493539,1.930341137
5002001014,0,0,0.833436341,0,0.991181727,1.824618068
5002001002,0,0,0,0,0.418348624,0.418348624
5002001002,0,0,0,0,0,0
5002001002,0,0,0,0,0,0
5002001002,0,0,0,0.935847598,0,0.935847598
5002001002,0,0,0.833436341,0,0.991181727,1.824618068
5001001005,0,0,0,0,0,0
5001001005,0,0,0,0,0,0
5001001005,0,0,0,0,0,0
5001001005,0,0,0,0,0,0
5001001005,0,0,0,0,0,0
5001001007,0,0,0,0,0,0
5001001007,0,0,0,0,0.99806051,0.99806051
5001001007,0,0,0,0,0,0
5001001007,0,0,0,0,0,0
5001001007,0,0,0,0,0,0
5003002014,0,0,0,0,0,0
5003002014,0,0,0,0,0,0
5003002014,0,0,2.769267561,0,0,2.769267561
5003002014,0,0,0,0,0,0
5003002014,0,0,0,0,0,0
5001003025,0,0,0,0,0,0
5001003025,0,0,0,0,0,0
5001003025,0,0,0,0,0,0
5001003025,0,0,0,0,0,0
5001003025,0,0,0,0,0,0
5002002017,0,0,0,0.49626506,0,0.49626506
5002002017,0,0,0,0,0,0
5002002017,0,0,0,0,0,0
5002002017,0,0.820635654,0,0.935847598,0,1.756483252
5002002017,0,0,0.833436341,0.904615247,0.991181727,2.729233315
5003001007,0,0,0,0,0,0
5003001007,0,0,0,0,0,0
5003001007,0,0,0,1.907733866,0.996738996,2.904472862
5003001007,0,0,0,0,0,0
5003001007,0,0,0,0,0.991181727,0.991181727
5002001007,0,0,0,0.49626506,0.836697248,1.332962308
5002001007,0,0,0,0,0,0
5002001007,0,0,0,0.953866933,0,0.953866933
5002001007,0,0,0,1.871695196,0.994493539,2.866188735
5001003003,0,0,0,0,0,0
5001003003,0,0,0,0,0.99806051,0.99806051
5001003003,0,0,0,0,0,0
5001003003,0,0,0,0,0,0
5001003003,0,0,0,0,0,0
5001001018,0,0,0,0,0,0
5001001018,0,0,0,0,0.99806051,0.99806051
5001001018,0,0,0,0,0,0
5001001018,0,0,0,0,0,0
5001001018,0,0,0,0,0,0
5002001023,0,0,0,0,0.418348624,0.418348624
5002001023,0,0,0,0,0,0
5002001023,0,0,0,0,0,0
5002001023,0,0,0.883219081,0,0.994493539,1.87771262
5002001023,0,0,0.833436341,0,0.991181727,1.824618068
5002001006,0,0,0,0,0.836697248,0.836697248
5002001006,0,0,0,0,0,0
5002001006,0,0,0,0.953866933,0,0.953866933
5002001006,0,0,0,0,2.983480617,2.983480617
5002001006,0,0.736676232,0,0,1.982363454,2.719039686
5001002013,0,0,0,0,0,0
5001002013,0,0,0,0,0,0
5001002013,0,0,0,0,0,0
5001002013,0,0,0,0,0,0
5001002013,0,0,0,0,0,0
5001003008,0,0,0,0,0,0
5001003008,0,0,0,0,0,0
5001003008,0,0,0,0,0,0
5001003008,0,0,0,0,0,0
5001003008,0,0,0,0,0,0
5002001005,0,0,0,0,0.418348624,0.418348624
5002001005,0,0,0,0,0,0
5002001005,0,0,0,0,0.996738996,0.996738996
5002001005,0,0,0,0,0.994493539,0.994493539
5002001005,0,0.736676232,0,0,0.991181727,1.727857959
5001003004,0,0,0,0,0,0
5001003004,0,0,0,0,0,0
5001003004,0,0,0,0,0,0
5001003004,0,0,0,0,0,0
5001003004,0,0,0,0,0,0
5001001011,0,0,0,0,0,0
5001001011,0,0,0,0,0,0
5001001011,0,0,0,0,0,0
5001001011,0,0,0,0,0,0
5001001011,0,0,0,0,0,0
5002002019,0,0,0,0.49626506,0,0.49626506
5002002019,0,0,0,0,0,0
5002002019,0,0,0,0,0,0
5002002019,0,0,0,1.809230494,0.991181727,2.800412221
5002002021,0,0,0,0.49626506,0.418348624,0.914613684
5002002021,0,0,0,0,0,0
5002002021,0,0,0,0,0,0
5002002021,0,0,0,1.809230494,0.991181727,2.800412221
5002002007,0,0,0,0,0,0
5002002007,0,0,0,0,0,0
5002002007,0,0,0,0,0.996738996,0.996738996
5002002007,0,0,0,0.935847598,0,0.935847598
5002002007,0,0,0.833436341,0,0,0.833436341
5001003001,0,0,0,0,0,0
5001003001,0,0,0,0,0.99806051,0.99806051
5001003001,0,0,0,0,0,0
5001003001,0,0,0,0,0,0
5001003001,0,0,0,0,0,0
5001001020,0,0,0,0,0,0
5001001020,0,0,0,0,0,0
5001001020,0,0,0,0,0,0
5001001020,0,0,0,0,0,0
5001001020,0,0,0,0,0,0
5001002018,0,0,0,0,0,0
5001002018,0,0,0,0,0,0
5001002018,0,0,0,0,0,0
5001002018,0,0,0,0,0,0
5001002018,0,0,0,0,0,0
5003001011,0,0,0,0,0,0
5003001011,0,0,0,0,0,0
5003001011,0,0,0.923089187,1.907733866,0,2.830823053
5003001011,0,0,0,0,0,0
5003001011,0,0,0,0,0.991181727,0.991181727
5001002020,0,0,0,0,0,0
5001002020,0,0,0,0,0,0
5001002020,0,0,0,0,0,0
5001002020,0,0,0,0,0,0
5001002020,0,0,0,0,0,0
5001003014,0,0,0,0,0,0
5001003014,0,0,0,0,0,0
5001003014,0,0,0,0,0,0
5001003014,0,0,0,0,0,0
5001003014,0,0,0,0,0,0
5002001021,0,0,0,0.49626506,0.418348624,0.914613684
5002001021,0,0,0,0,0,0
5002001021,0,0,0,0,0.996738996,0.996738996
5002001021,0,0,0.883219081,0.935847598,0.994493539,2.813560218
5002001021,0,0,0.833436341,0.904615247,0.991181727,2.729233315
5003001005,0,0,0,0,0,0
5003001005,0,0,0,0,0,0
5003001005,0,0,0,0.953866933,0.996738996,1.950605929
5003001005,0,0,0,0,0.994493539,0.994493539
5003001005,0,0,0,0.904615247,0,0.904615247
5001003010,0,0,0,0,0,0
5001003010,0,0,0,0,0,0
5001003010,0,0,0,0,0,0
5001003010,0,0,0,0,0,0
5001003010,0,0,0,0,0,0
5002001000,0,0,0,0,0.418348624,0.418348624
5002001000,0,0,0,0,0,0
5002001000,0,0,0,0,0,0
5002001000,0,0,0.883219081,0,0,0.883219081
5002001000,0,0,0,0.904615247,0,0.904615247
5001002019,0,0,0,0,0,0
5001002019,0,0,0,0,0,0
5001002019,0,0,0,0,0,0
5001002019,0,0,0,0,0,0
5001002019,0,0,0,0,0,0
5002002016,0,0,0,0,0.418348624,0.418348624
5002002016,0,0,0,0,0,0
5002002016,0,0,0,0,0,0
5002002016,0,0.820635654,0,0,0.994493539,1.815129193
5002002016,0,0,0.833436341,0,0.991181727,1.824618068
5001003013,0,0,0,0,0,0
5001003013,0,0,0,0,0,0
5001003013,0,0,0,0,0,0
5001003013,0,0,0,0,0,0
5001003013,0,0,0,0,0,0
5003002017,0,0,0,0,0,0
5003002017,0,0,0,0,0,0
5003002017,0,2.664464025,0,0,0,2.664464025
5003002017,0,0,0,0,0,0
5003002017,0,0,0,0,0.991181727,0.991181727
5002001001,0,0,0,0,0.418348624,0.418348624
5002001001,0,0,0,0,0,0
5002001001,0,0,0,0,0,0
5002001001,0,0,0.883219081,0,0.994493539,1.87771262
5002001001,0,0,0,0.904615247,0.991181727,1.895796974
5001002016,0,0,0,0,0,0
5001002016,0,0,0,0,0,0
5001002016,0,0,0,0,0,0
5001002016,0,0,0,0,0,0
5001002016,0,0,0,0,0,0
5001003011,0,0,0,0,0,0
5001003011,0,0,0,0,0,0
5001003011,0,0,0,0,0,0
5001003011,0,0,0,0,0,0
5001003011,0,0,0,0,0,0
5002002022,0,0,0,0.49626506,0,0.49626506
5002002022,0,0,0,0,0,0
5002002022,0,0,0,0,0,0
5002002022,0,0,0,1.809230494,0.991181727,2.800412221
5003001009,0,0,0,0,0,0
5003001009,0,0,0,0,0,0
5003001009,0,0,0,0.953866933,1.993477992,2.947344925
5003001009,0,0,0,0,0,0
5003001009,0,0,0,0.904615247,0,0.904615247
5002001015,0,0,0,0,0.418348624,0.418348624
5002001015,0,0,0,0,0,0
5002001015,0,0,0,0,0,0
5002001015,0,0,0.883219081,0,0.994493539,1.87771262
5002001015,0,0,0.833436341,0,0.991181727,1.824618068
5003001021,0,0,0,0,0,0
5003001021,0,0,0,0,0,0
5003001021,0,0,1.846178374,0.953866933,0,2.800045307
5003001021,0,0,0,0,0,0
5003001021,0,0,0,0,0,0
5002002024,0,0,0,0,0,0
5002002024,0,0,0,0,0,0
5002002024,0,0,0,0,0,0
5002002024,0,0,0,0,0,0
5002002024,0,0,0,0,0,0
5002001010,0,0,0,0,0.418348624,0.418348624
5002001010,0,0,0,0,0,0
5002001010,0,0,0,0,0.996738996,0.996738996
5002001010,0,0,0,0.935847598,0.994493539,1.930341137
5002001010,0,0.736676232,0,0,0.991181727,1.727857959
5001001012,0,0,0,0,0,0
5001001012,0,0,0,0,0,0
5001001012,0,0,0,0,0,0
5001001012,0,0,0,0,0,0
5001001012,0,0,0,0,0,0
5001001025,0,0,0,0,0,0
5001001025,0,0,0,0,0,0
5001001025,0,0,0,0,0,0
5001001025,0,0,0,0,0,0
5001001025,0,0,0,0,0,0
5002001018,0,0,0,0.49626506,0.836697248,1.332962308
5002001018,0,0,0,0,0,0
5002001018,0,0,0,0.953866933,0,0.953866933
5002001018,0,0,0.883219081,0.935847598,0.994493539,2.813560218
5001003022,0,0,0,0,0,0
5001003022,0,0,0,0,0,0
5001003022,0,0,0,0,0,0
5001003022,0,0,0,0,0,0
5001003022,0,0,0,0,0,0
5001001013,0,0,0,0,0,0
5001001013,0,0,0,0,0,0
5001001013,0,0,0,0,0,0
5001001013,0,0,0,0,0,0
5001001013,0,0,0,0,0,0
5002001004,0,0,0,0,0.418348624,0.418348624
5002001004,0,0,0,0,0,0
5002001004,0,0,0,0,0,0
5002001004,0,0,0.883219081,0,0.994493539,1.87771262
5002001004,0,0,0.833436341,0,0.991181727,1.824618068
5003001012,0,0,0,0,0,0
5003001012,0,0,0,0,0,0
5003001012,0,0,0,2.861600799,0,2.861600799
5003001012,0,0,0,0,0,0
5003001012,0,0,0,0,0.991181727,0.991181727
5002001022,0,0,0,0.49626506,0.418348624,0.914613684
5002001022,0,0,0,0,0,0
5002001022,0,0,0,0,0.996738996,0.996738996
5002001022,0,0,0.883219081,0.935847598,0.994493539,2.813560218
5002001022,0,0.736676232,0,0.904615247,0.991181727,2.632473206
5001001019,0,0,0,0,0,0
5001001019,0,0,0,0,0,0
5001001019,0,0,0,0,0,0
5001001019,0,0,0,0,0,0
5001001019,0,0,0,0,0,0
5001003016,0,0,0,0,0,0
5001003016,0,0,0,0,0,0
5001003016,0,0,0,0,0,0
5001003016,0,0,0,0,0,0
5001003016,0,0,0,0,0,0
5002001024,0,0,0,0.49626506,0.418348624,0.914613684
5002001024,0,0,0,0,0,0
5002001024,0,0,0,0,0,0
5002001024,0,0.820635654,0,0.935847598,0.994493539,2.750976791
5002001024,0,0,0.833436341,0.904615247,0,1.738051588
5001002006,0,0,0,0,0,0
5001002006,0,0,0,0,0,0
5001002006,0,0,0,0,0,0
5001002006,0,0,0,0,0,0
5001002006,0,0,0,0,0,0
5001004001,0,0,0,0,0,0
5001004001,0,0,0,0,0,0
5001004001,0,0,0,0,0,0
5001004001,0,0,0,0,0,0
5001004001,0,0,0,0,0,0
5002002014,0,0,0,0.49626506,0.418348624,0.914613684
5002002014,0,0,0,0,0,0
5002002014,0,0,0,0,0,0
5002002014,0,0.820635654,0,0.935847598,0.994493539,2.750976791
5002002014,0,0,0.833436341,0.904615247,1.982363454,3.720415042
5001002012,0,0,0,0,0,0
5001002012,0,0,0,0,0,0
5001002012,0,0,0,0,0,0
5001002012,0,0,0,0,0,0
5001002012,0,0,0,0,0,0
5001001022,0,0,0,0,0,0
5001001022,0,0,0,0,0,0
5001001022,0,0,0,0,0,0
5001001022,0,0,0,0,0,0
5001001022,0,0,0,0,0,0
5002001009,0,0,0,0,0.418348624,0.418348624
5002001009,0,0,0,0,0,0
5002001009,0,0,0,0.953866933,0,0.953866933
5002001009,0,0,0,0,1.988987078,1.988987078
5002001009,0,0.736676232,0,0,1.982363454,2.719039686
5003001015,0,0,0,0,0,0
5003001015,0,0,0,0,0,0
5003001015,0,0,0,2.861600799,0,2.861600799
5003001015,0,0,0,0,0,0
5003001015,0,0,0,0,0,0
5001001021,0,0,0,0,0,0
5001001021,0,0,0,0,0,0
5001001021,0,0,0,0,0,0
5001001021,0,0,0,0,0,0
5001001021,0,0,0,0,0,0
5003002003,0,0,0,0,0,0
5003002003,0,0,0,0,0,0
5003002003,0,0,0.923089187,1.907733866,0,2.830823053
5003002003,0,0,0,0,0,0
5003002003,0,0,0,0,0.991181727,0.991181727
5003001006,0,0,0,0,0,0
5003001006,0,0,0,0,0,0
5003001006,0,0,0,0.953866933,1.993477992,2.947344925
5003001006,0,0,0,0,0.994493539,0.994493539
5003001006,0,0,0,0.904615247,0,0.904615247
5003002009,0,0,0,0,0,0
5003002009,0,0,0,0,0,0
5003002009,0,0,2.769267561,0,0,2.769267561
5003002009,0,0,0,0,0,0
5003002009,0,0,0,0,0,0
5002002009,0,0,0,0.49626506,0.418348624,0.914613684
5002002009,0,0,0,0,0,0
5002002009,0,0,0,0,0,0
5002002009,0,0,0,2.713845741,0,2.713845741
5001001003,0,0,0,0,0,0
5001001003,0,0,0,0,0,0
5001001003,0,0,0,0,0,0
5001001003,0,0,0,0,0,0
5001001003,0,0,0,0,0,0
5002001016,0,0,0,0.49626506,0.418348624,0.914613684
5002001016,0,0,0,0,0,0
5002001016,0,0,0,0,0.996738996,0.996738996
5002001016,0,0,0.883219081,0.935847598,0.994493539,2.813560218
5002001016,0,0.736676232,0,0.904615247,0.991181727,2.632473206
5001001017,0,0,0,0,0,0
5001001017,0,0,0,0,0.99806051,0.99806051
5001001017,0,0,0,0,0,0
5001001017,0,0,0,0,0,0
5001001017,0,0,0,0,0,0
5001002008,0,0,0,0,0,0
5001002008,0,0,0,0,0,0
5001002008,0,0,0,0,0,0
5001002008,0,0,0,0,0,0
5001002008,0,0,0,0,0,0
5003002015,0,0,0,0,0,0
5003002015,0,0,0,0,0,0
5003002015,0,0.888154675,1.846178374,0,0,2.734333049
5003002015,0,0,0,0,0,0
5003002015,0,0,0,0,0,0
5003002024,0,0,0,0,0,0
5003002024,0,0,0,0,0,0
5003002024,0,0,2.769267561,0,0,2.769267561
5003002024,0,0,0,0,0,0
5003002024,0,0,0,0,0,0
5003002029,0,0,0,0,0,0
5003002029,0,0,0,0,0,0
5003002029,0,1.77630935,0.923089187,0,0,2.699398537
5003002029,0,0,0,0,0,0
5003002029,0,0,0,0,0,0
5001003015,0,0,0,0,0,0
5001003015,0,0,0,0,0,0
5001003015,0,0,0,0,0,0
5001003015,0,0,0,0,0,0
5001003015,0,0,0,0,0,0
5001004031,0,0,0,0,0,0
5001004031,0,0,0,0,0,0
5001004031,0,0,0,0.953866933,0,0.953866933
5001004031,0,0,0,0,0.994493539,0.994493539
5001004031,0,0,0,0.904615247,0,0.904615247
5002002015,0,0,0,0.49626506,0,0.49626506
5002002015,0,0,0,0,0,0
5002002015,0,0,0,0,0,0
5002002015,0,0.820635654,0,0.935847598,0,1.756483252
5002002015,0,0,0.833436341,0.904615247,0,1.738051588
5001002009,0,0,0,0,0,0
5001002009,0,0,0,0,0,0
5001002009,0,0,0,0,0,0
5001002009,0,0,0,0,0,0
5001002009,0,0,0,0,0,0
5002001017,0,0,0,0.49626506,0.418348624,0.914613684
5002001017,0,0,0,0,0,0
5002001017,0,0,0,0,0.996738996,0.996738996
5002001017,0,0,0.883219081,0,1.988987078,2.872206159
5002001017,0,0.736676232,0,0.904615247,0.991181727,2.632473206
5001004007,0,0,0,0,0,0
5001004007,0,0,0,0,0,0
5001004007,0,0,0,0,0,0
5001004007,0,0,0,0,0,0
5001004007,0,0,0,0,0,0
5001001008,0,0,0,0,0,0
5001001008,0,0,0,0,0,0
5001001008,0,0,0,0,0,0
5001001008,0,0,0,0,0,0
5001001008,0,0,0,0,0,0
5003002004,0,0,0,0,0,0
5003002004,0,0,0,0,0,0
5003002004,0,0,0.923089187,0.953866933,0.996738996,2.873695116
5003002004,0,0,0,0,0,0
5003002004,0,0,0,0.904615247,0,0.904615247
5001003005,0,0,0,0,0,0
5001003005,0,0,0,0,0,0
5001003005,0,0,0,0,0,0
5001003005,0,0,0,0,0,0
5001003005,0,0,0,0,0,0
5003001016,0,0,0,0,0,0
5003001016,0,0,0,0,0,0
5003001016,0,0,0,0,2.990216988,2.990216988
5003001016,0,0,0,0,0,0
5003001016,0,0,0,0,0,0
5003001008,0,0,0,0,0,0
5003001008,0,0,0,0,0,0
5003001008,0,0,0,0.953866933,1.993477992,2.947344925
5003001008,0,0,0,0,0,0
5003001008,0,0,0,0,0.991181727,0.991181727
5001002010,0,0,0,0,0,0
5001002010,0,0,0,0,0,0
5001002010,0,0,0,0,0,0
5001002010,0,0,0,0,0,0
5001002010,0,0,0,0,0,0
5001004016,0,0,0,0,0,0
5001004016,0,0,0,0,0,0
5001004016,0,0,0,0,0,0
5001004016,0,0,0,0,0,0
5001004016,0,0,0,0,0.991181727,0.991181727
5003002013,0,0,0,0,0,0
5003002013,0,0,0,0,0,0
5003002013,0,0.888154675,1.846178374,0,0,2.734333049
5003002013,0,0,0,0,0,0
5003002013,0,0,0,0.904615247,0.991181727,1.895796974
5001003002,0,0,0,0,0,0
5001003002,0,0,0,0,0,0
5001003002,0,0,0,0,0,0
5001003002,0,0,0,0,0,0
5001003002,0,0,0,0,0,0
5001003007,0,0,0,0,0,0
5001003007,0,0,0,0,0,0
5001003007,0,0,0,0,0,0
5001003007,0,0,0,0,0,0
5001003007,0,0,0,0,0,0