ca, time, knox600ft, knox1200ft, knox1800ft, knox2400ft, knox3000ft, p600ft, p1200ft, p1800ft, p2400ft, p3000ft
ca39,7,0.91507431,1.00362757,0.937264595,0.931377778,0.945420076,0.09,0.17,0.24,0.38,0.22
ca39,10,1.023762376,0.958203014,0.963926941,0.982415309,1.067432844,0.16,0.31,0.35,0.38,0.09
ca39,13,0.870466321,0.970193214,1.005932203,1.057679227,1.081130835,0.12,0.3,0.32,0.22,0.08
ca40,1,0.858173077,1.112275163,0.917672773,1.131047152,1.082513992,0.76,0.2,0.57,0.22,0.06
ca40,4,0.976472008,1.037348318,0.985183558,1.005454612,0.989792814,0.73,0.25,0.54,0.37,0.58
ca40,7,1.15744041,1.053041018,1.012059926,1.018879446,0.994101916,0.24,0.1,0.19,0.2,0.54
ca40,10,1.071466161,1.032267953,1.011056045,1.006995735,0.997013473,0.11,0.08,0.07,0.08,0.19
ca40,13,1.193207956,1.029053051,0.99890205,0.99189352,0.980622917,0.07,0.08,0.14,0.21,0.35
ca41,1,1.840859031,1.118016321,1.058694593,0.970184697,1.036209887,0.01,0.01,0.01,0.02,0.01
ca41,4,1.169125993,1.124234538,1.124227202,1.070654782,1.047117808,0.03,0.01,0.01,0.01,0.02
ca41,7,1.140243902,1.070538974,1.056283375,0.9537027,0.994511501,0.03,0.02,0.01,0.06,0.05
ca41,10,1.135325559,1.087666723,1.041165899,0.942289731,1.043489831,0.01,0.01,0.03,0.12,0.05
ca41,13,1.529411765,1.125211391,1.056438187,0.978508976,1.074783885,0.01,0.01,0.01,0.07,0.01
ca42,1,1.146859231,1.088981758,1.073931022,1.051838235,1.008766606,0.16,0.11,0.07,0.01,0.02
ca42,4,1.093114872,1.114102334,1.085414643,1.045007207,1.03098082,0.11,0.02,0.02,0.02,0.01
ca42,7,1.113170558,1.104441917,1.060053399,1.032015879,1.029617233,0.06,0.01,0.01,0.01,0.01
ca42,10,1.221929236,1.078567579,1.040387687,1.021453404,1.008253099,0.02,0.01,0.01,0.01,0.01
ca42,13,1.112017742,1.071305752,1.056811452,1.026136552,0.998874765,0.01,0.01,0.01,0.01,0.01
ca43,1,1.289842312,1.000243808,1.023486433,0.973447706,0.986700651,0.01,0.04,0.01,0.12,0.24
ca43,4,0.967136276,0.981615478,1.008200027,1.004947914,1.001401936,0.09,0.24,0.11,0.13,0.22
ca43,7,1.076513238,1.021009117,1.046969385,1.020703624,1.009090253,0.03,0.05,0.01,0.05,0.04
ca43,10,1.053836882,1.012055543,1.030944238,0.998148598,0.992414716,0.04,0.05,0.02,0.03,0.14
ca43,13,1.020532159,1.008101428,1.015262116,0.99653987,0.999958067,0.04,0.04,0.03,0.05,0.1
ca44,1,0.998909762,0.986233435,0.969973989,1.042026169,0.927581345,0.45,0.5,0.61,0.5,0.79
ca44,4,1.228531517,1.066224717,1.064793052,1.06276446,1.044012666,0.04,0.03,0.02,0.01,0.02
ca44,7,0.983575095,1.028954823,1.016378384,1.019967884,1.005421409,0.07,0.01,0.08,0.01,0.04
ca44,10,0.964978942,1.021662298,1.006547175,1.023791968,1.002119794,0.15,0.14,0.05,0.02,0.07
ca44,13,1.089191586,1.027028696,1.020160275,1.042097404,1.000823243,0.11,0.06,0.06,0.02,0.06
ca45,1,1.677083333,1.100877193,1.240325866,0.755208333,1.060397554,0.05,0.18,0.06,0.25,0.12
ca45,4,1.008361204,1.057573074,1.123044838,1.049854967,1.030218317,0.12,0.18,0.09,0.11,0.18
ca45,7,0.493288591,0.893913043,0.984397678,1.05005005,1.00774608,0.46,0.54,0.26,0.07,0.16
ca45,10,1.065972222,0.987645688,1.099062134,1.067191754,0.997827306,0.47,0.52,0.17,0.11,0.16
ca45,13,1.218965517,1.00666889,1.118924972,1.043377632,1.007396637,0.35,0.45,0.14,0.17,0.16
ca46,1,1.547634136,0.851960646,1.084721588,1.050177921,1.026607831,0.01,0.44,0.16,0.16,0.13
ca46,4,1.034227521,0.975007009,1.031746201,0.995324789,0.997042796,0.04,0.29,0.16,0.39,0.32
ca46,7,1.189383739,1.015873724,1.040687979,1.014554027,1.043962409,0.01,0.21,0.07,0.19,0.05
ca46,10,0.788884344,0.966992724,1.004541837,1.00533791,1.026350198,0.11,0.32,0.24,0.13,0.04
ca46,13,1.234668204,1.053322136,1.073583151,1.041951162,1.053687955,0.05,0.04,0.02,0.03,0.01
ca47,1,0.5,1.305555556,0.48,3.5,0.666666667,0.64,0.3,0.65,0.45,0.78
ca47,4,2.055555556,1.007246377,0.719262295,1.103846154,1.008090615,0.07,0.52,0.99,0.08,0.25
ca47,7,0.868421053,0.690140845,0.445512821,1.661654135,0.904411765,0.16,0.77,1,0.09,0.24
ca47,10,-0.125,0.878698225,0.711790393,1.465065502,0.799450549,0.14,0.52,1,0.23,0.77
ca47,13,0.543478261,0.98630137,0.624535316,1.320422535,0.899159664,0.36,0.29,1,0.38,0.63
ca48,1,1.235294118,1.796116505,0.815340909,0.713286713,0.927350427,0.37,0.07,0.18,0.45,0.54
ca48,4,0.993939394,1.132986627,0.87304848,0.918219462,1.005344164,0.32,0.3,0.41,0.52,0.45
ca48,7,1.233009709,0.948997384,0.973711077,1.130344108,1.145969499,0.39,0.69,0.43,0.09,0.2
ca48,10,1.193478261,0.855483871,0.988293051,1.073174006,1.013093107,0.29,0.68,0.58,0.24,0.14
ca48,13,1.609090909,0.966056034,1.202502644,1.278386844,1.174862736,0.13,0.42,0.14,0.02,0.03
ca49,1,1.337684895,1.063769317,1.014978153,0.941799706,0.930181202,0.05,0.04,0.06,0.26,0.6
ca49,4,1.181654494,1.109126793,1.026583133,0.987387079,0.997848542,0.01,0.01,0.1,0.49,0.44
ca49,7,1.054462935,1.038737042,0.99464229,0.987604615,1.00933319,0.02,0.01,0.13,0.35,0.38
ca49,10,1.106857643,1.06707784,1.027585809,1.000437632,1.017603947,0.01,0.01,0.02,0.14,0.22
ca49,13,1.084197324,1.055711751,1.025302429,0.995625679,1.015760533,0.01,0.02,0.02,0.11,0.12
ca50,1,0.456521739,0.611111111,1.318181818,0.822368421,2.25,0.85,0.86,0.61,0.7,0.63
ca50,4,0.447916667,0.956647399,1.215686275,1.002785515,1.045698925,1,0.73,0.3,0.64,0.6
ca50,7,0.392857143,1.209558824,1.251724138,1.034926471,1.156639004,1,0.41,0.21,0.32,0.3
ca50,10,0.629310345,1.109865471,1.036541889,0.819491525,0.944723618,0.96,0.59,0.34,0.41,0.49
ca50,13,0.380952381,1.142036125,1.093385214,0.908783784,0.995652174,1,0.57,0.36,0.61,0.55
ca51,1,2.211809317,1.627298444,0.826748321,1.223631509,0.816951567,0.01,0.01,0.02,0.02,0.01
ca51,4,1.162284895,1.350510999,1.118043202,1.20772196,1.093222735,0.01,0.01,0.01,0.01,0.01
ca51,7,1.035872454,1.34015291,1.148220887,1.205528134,1.094112304,0.02,0.01,0.01,0.01,0.01
ca51,10,1.074200913,1.327693909,1.129655823,1.096019352,1.01596144,0.02,0.01,0.01,0.01,0.01
ca51,13,0.863827235,1.193869892,1.034412302,1.05449597,1.004072199,0.04,0.01,0.01,0.01,0.01
ca52,1,3.4375,1.435650888,1.296411856,0.825648415,1.07437408,0.01,0.01,0.01,0.01,0.01
ca52,4,2.243478261,1.239843368,1.088669178,0.973038697,1.02917856,0.01,0.01,0.01,0.01,0.03
ca52,7,1.351129363,1.014548495,1.069482601,0.932299782,0.998033898,0.01,0.01,0.02,0.11,0.11
ca52,10,0.2890625,0.933561824,0.990522208,0.863384189,0.967980009,0.01,0.04,0.06,0.3,0.33
ca52,13,1.102409639,0.933860824,0.961993628,0.904885092,0.974345347,0.01,0.1,0.15,0.45,0.41
ca53,1,0.937748547,1.052567535,0.891022586,1.13153259,0.880226651,0.65,0.36,0.76,0.31,0.75
ca53,4,1.290981155,1.102945855,1.005913145,1.054989989,1.008969489,0.08,0.06,0.45,0.15,0.33
ca53,7,1.480610497,1.06545069,1.012359384,1.042573194,0.98176799,0.01,0.09,0.1,0.16,0.35
ca53,10,1.01993865,1.010898031,1.016869813,0.982645657,0.963822075,0.01,0.05,0.06,0.41,0.53
ca53,13,1.032743497,0.991925606,0.984870022,0.947603569,0.977803631,0.05,0.1,0.19,0.64,0.67
ca54,1,1.996031746,0.941071429,0.272321429,0.826666667,0.606707317,0.05,0.15,0.43,0.57,0.74
ca54,4,1.586956522,1.122641509,1.014516129,1.109707065,1.078512397,0.01,0.06,0.21,0.06,0.08
ca54,7,0.866,0.830123267,0.806876791,0.981481481,0.983817427,0.03,0.31,0.62,0.35,0.23
ca54,10,0.219827586,0.825044937,0.879596251,1.179740581,1.160188457,0.1,0.43,0.61,0.17,0.06
ca54,13,1.161971831,0.878517316,0.9494311,1.122150538,1.097961213,0.08,0.56,0.64,0.16,0.1
ca55,1,2.472972973,1.918367347,2.581632653,0.675572519,0.607843137,0.03,0.02,0.01,0.01,0.02
ca55,4,2.108695652,1.753472222,1.696531792,0.836012862,0.921832884,0.01,0.02,0.01,0.06,0.07
ca55,7,5,2.221014493,1.851955307,1.020700637,1.15625,0.01,0.01,0.01,0.01,0.02
ca55,10,3.166666667,1.387323944,1.251020408,0.89,0.95625,0.01,0.01,0.01,0.01,0.02
ca55,13,1.556451613,1.211229947,1.13028169,0.916570104,0.972949389,0.01,0.02,0.01,0.01,0.01
ca56,1,1.076496674,1.326975477,0.950963956,0.97794581,1.317485898,0.38,0.07,0.15,0.3,0.12
ca56,4,1.151551313,1.205021448,1.082626792,1.111350047,1.082166791,0.34,0.04,0.14,0.03,0.08
ca56,7,0.821891192,1.203848027,1.000166039,1.022856502,1.024104605,0.45,0.04,0.13,0.08,0.08
ca56,10,1.340608466,1.171726755,0.933557575,1.025636973,1.028139132,0.18,0.02,0.19,0.2,0.1
ca56,13,1.384422111,1.124774056,0.980449132,1.029529587,1.000088664,0.14,0.02,0.16,0.19,0.25
ca57,1,1.961340206,0.94093178,1.067619048,0.85701275,1.18647541,0.03,0.18,0.16,0.27,0.08
ca57,4,1.474763407,1.123173971,1.087722853,0.99776999,1.004376931,0.01,0.08,0.09,0.19,0.37
ca57,7,0.896825397,0.931356284,0.878329298,0.887814703,0.967435245,0.04,0.3,0.72,0.7,0.56
ca57,10,1.618217054,0.983911786,0.938063323,0.99265456,1.060243118,0.04,0.18,0.55,0.68,0.37
ca57,13,0.974609375,0.997919376,0.978810775,0.99796334,1.043387857,0.03,0.11,0.38,0.67,0.32
ca58,1,0.986278447,1.200837951,0.976810839,1.013459468,0.889619782,0.56,0.11,0.17,0.25,0.58
ca58,4,0.988296489,1.205811185,1.098973177,1.038575457,1.012511914,0.5,0.01,0.03,0.08,0.19
ca58,7,1.05546183,1.134042333,1.030038448,0.999072895,0.990201717,0.37,0.03,0.03,0.06,0.25
ca58,10,1.057246744,1.108276758,1.021493526,0.987651587,0.97100575,0.43,0.01,0.04,0.1,0.36
ca58,13,1.394632991,1.112285857,1.04072088,1.028548395,1.009315026,0.05,0.01,0.04,0.02,0.15
ca59,1,1.166666667,1.228624535,0.938432836,1.418367347,0.796703297,0.42,0.25,0.3,0.02,0.1
ca59,4,1.602040816,1.184440559,1.132310642,1.115880619,0.969316808,0.06,0.12,0.06,0.06,0.42
ca59,7,0.712062257,1.023861171,1.052977953,1.029615627,0.905276817,0.19,0.18,0.05,0.06,0.57
ca59,10,0.775316456,1.032833401,0.958777429,0.951230228,0.810113154,0.3,0.2,0.38,0.3,0.88
ca59,13,0.755319149,1.092225889,1.075427468,1.139939486,0.928587936,0.3,0.1,0.13,0.05,0.6
ca60,1,1.725945946,1.051724138,1.059962855,0.944933397,1.222593743,0.02,0.04,0.08,0.15,0.02
ca60,4,1.018842163,1.057596175,1.122815059,1.032071097,1.043102338,0.05,0.06,0.01,0.06,0.04
ca60,7,1.158444023,1.149167734,1.176947825,1.046025316,1.06871714,0.04,0.02,0.01,0.01,0.01
ca60,10,0.972060958,1.043678413,1.040683982,0.966963595,0.967190843,0.07,0.04,0.01,0.04,0.11
ca60,13,0.891594054,1.005341312,1.049185482,0.989265436,0.985027549,0.1,0.23,0.01,0.07,0.08
ca61,1,1.690042502,1.294279498,1.096654628,1.086611861,0.908335632,0.01,0.01,0.01,0.01,0.01
ca61,4,1.152342513,1.118777557,1.005015192,1.021777245,0.991269568,0.01,0.01,0.03,0.01,0.09
ca61,7,1.072906793,1.106958226,0.976878906,0.989108198,0.955719242,0.05,0.01,0.2,0.12,0.31
ca61,10,0.960586881,1.057362981,0.960302206,0.971294894,0.946468312,0.04,0.01,0.12,0.49,0.83
ca61,13,0.752955466,1.033022385,0.956631337,0.96242391,0.947073409,0.18,0.03,0.32,0.56,0.99
ca62,1,1.677570093,1.261640798,1.110846246,1.124076809,0.775150473,0.07,0.05,0.03,0.02,0.04
ca62,4,1.157142857,1.083151666,1.056223645,1.076672756,0.990327929,0.12,0.08,0.08,0.01,0.1
ca62,7,0.943157895,1.092314033,1.034388474,1.081632653,0.990428951,0.14,0.06,0.17,0.02,0.09
ca62,10,0.763709677,1.076229508,0.977970504,1.082453391,0.976144378,0.4,0.09,0.21,0.01,0.07
ca62,13,0.730375427,1.088065689,1.029007464,1.130205116,1.030465654,0.58,0.07,0.12,0.01,0.01
ca63,1,1.284232365,1.198155108,1.111393805,1.040023777,1.051015588,0.2,0.12,0.05,0.04,0.02
ca63,4,0.944160074,1.004168228,0.945238095,0.986920614,1.012868639,0.33,0.33,0.61,0.28,0.13
ca63,7,1.280081925,1.062453806,0.993772788,1.032754094,1.033880809,0.1,0.16,0.44,0.26,0.06
ca63,10,1.351598174,1.020282229,1.006627003,1.04424574,1.028157579,0.05,0.26,0.23,0.18,0.12
ca63,13,1.112083569,0.995990678,1.000438113,1.00780227,1.014035645,0.05,0.21,0.29,0.23,0.13
ca64,1,1.194444444,1.207317073,0.737918216,1.068376068,0.38277512,0.37,0.22,0.58,0.46,0.8
ca64,4,0.627027027,1.04379562,0.917238422,1.075715859,0.912054409,0.66,0.33,0.53,0.26,0.82
ca64,7,1.413461538,1.145415473,0.880220646,0.947228774,0.666043614,0.58,0.42,0.71,0.68,0.93
ca64,10,0.560509554,1.092032967,0.936957779,0.904198303,0.846003475,0.82,0.36,0.56,0.85,0.93
ca64,13,1.1875,1.134094755,0.912623762,0.852675059,0.883899007,0.78,0.44,0.69,0.9,0.95
ca65,1,1.630804954,1.140590569,1.107895518,1.060662165,1.073575758,0.03,0.11,0.07,0.06,0.01
ca65,4,0.921403197,1.256918949,1.184960136,1.083539935,1.118681854,0.2,0.01,0.01,0.01,0.01
ca65,7,1.033234127,1.297098047,1.12935337,1.039920615,1.116006177,0.27,0.01,0.01,0.02,0.01
ca65,10,0.994758065,1.239487494,1.068417034,1.037891865,1.123803945,0.26,0.01,0.01,0.01,0.01
ca65,13,0.942669173,1.166780355,1.02596993,1.018186542,1.075044005,0.35,0.01,0.01,0.01,0.01
ca66,1,1.44876676,1.086685224,1.032348634,1.045834104,0.964599049,0.01,0.03,0.01,0.03,0.03
ca66,4,0.99567661,1.061622715,1.033012423,1.03485926,1.020739826,0.02,0.01,0.03,0.02,0.01
ca66,7,1.008525161,1.061686442,1.012170584,1.013756982,1.001149608,0.02,0.01,0.03,0.02,0.05
ca66,10,1.118028435,1.061490871,1.030578236,1.026921287,1.020437867,0.03,0.01,0.01,0.02,0.02
ca66,13,1.012943154,1.041801531,1.03668663,1.010830545,1.021070225,0.03,0.01,0.01,0.01,0.01
ca67,1,1.287117383,0.983498168,1.08288851,0.981865229,1.02382479,0.06,0.13,0.12,0.13,0.15
ca67,4,1.036788915,1.031525482,1.025362683,1.015596358,1.030773857,0.08,0.13,0.13,0.2,0.02
ca67,7,1.02551092,1.00283327,0.986862248,1.000652212,1.01150504,0.12,0.29,0.32,0.23,0.11
ca67,10,1.085664336,1.025759782,1.0217634,1.037608585,1.037154406,0.08,0.08,0.14,0.02,0.02
ca67,13,1.142313753,1.051403105,1.021878147,1.028422277,1.016142455,0.03,0.01,0.06,0.02,0.04
ca68,1,1.136124163,0.934677963,0.83506457,1.211178035,0.941331514,0.13,0.57,0.94,0.28,0.52
ca68,4,1.03059919,0.950542489,0.961742356,1.040802763,0.983331664,0.26,0.78,0.82,0.27,0.61
ca68,7,1.006804374,0.960614464,0.952381357,1.019705768,0.964623712,0.29,0.81,0.96,0.51,0.86
ca68,10,0.994320264,0.992238189,0.964190929,1.054898806,0.997788466,0.35,0.45,0.97,0.23,0.56
ca68,13,0.947556911,0.995826824,0.959202078,1.027325611,0.979803474,0.44,0.44,0.94,0.43,0.6
ca69,1,1.44350089,0.938075018,0.951585325,0.977047673,1.038817653,0.01,0.18,0.4,0.56,0.39
ca69,4,1.378503931,1.095430843,1.039032505,1.028112801,1.018985793,0.01,0.01,0.1,0.15,0.15
ca69,7,1.158288183,1.074454499,1.019886702,1.013326483,1.001812968,0.01,0.01,0.03,0.1,0.29
ca69,10,1.07470526,1.028954033,0.961545855,0.969423867,0.976879994,0.01,0.02,0.25,0.28,0.39
ca69,13,0.923763148,1.023592755,0.957820196,0.979445939,1.005363002,0.01,0.02,0.38,0.45,0.21
ca70,1,1.769784173,1.07723204,1.008833922,1.107729406,1.01999062,0.02,0.03,0.06,0.03,0.08
ca70,4,0.929865893,1.053960924,1.064032155,1.057026822,1.011046855,0.07,0.06,0.04,0.04,0.08
ca70,7,1.235232436,1.067298645,1.052799956,1.027815401,0.993249925,0.01,0.07,0.02,0.09,0.2
ca70,10,0.707523398,1.008682109,1.023488575,0.986429028,0.956095103,0.13,0.17,0.06,0.12,0.35
ca70,13,0.999675535,1.044804322,1.040315057,0.991223155,0.969449694,0.23,0.1,0.07,0.19,0.47
ca71,1,1.485913088,0.929705891,1.086693506,0.993650087,1.023616534,0.01,0.16,0.06,0.14,0.11
ca71,4,1.028324001,1.017019002,1.05947909,1.015098779,1.00992209,0.02,0.07,0.01,0.09,0.12
ca71,7,1.246975105,1.054369321,1.024694039,0.972937479,0.995483677,0.01,0.02,0.03,0.35,0.18
ca71,10,1.143657068,1.037166791,1.007616408,0.988121927,1.008121978,0.01,0.02,0.04,0.21,0.2
ca71,13,1.169401189,1.041389444,1.009597445,0.995088236,1.010094209,0.01,0.01,0.02,0.12,0.17
ca72,1,1.375,1.294392523,0.831683168,0.977272727,0.732323232,0.42,0.37,0.51,0.48,0.55
ca72,4,1.367924528,1.135521886,1.05333845,1.138316657,1.116333475,0.13,0.19,0.26,0.16,0.15
ca72,7,1.528645833,1.507594937,1.209935897,1.344535894,1.206701198,0.05,0.01,0.07,0.01,0.02
ca72,10,0.638461538,1.19707401,0.957878902,1.127296165,1.044687815,0.29,0.06,0.09,0.02,0.01
ca72,13,0.785714286,1.212323391,0.976577139,1.178426249,1.026538749,0.2,0.08,0.13,0.01,0.03
ca73,1,1.509475219,1.215692124,0.873303167,1.008041627,1.191291934,0.12,0.05,0.27,0.3,0.12
ca73,4,1.341666667,1.055618249,0.910915827,0.954620919,0.994791444,0.02,0.24,0.6,0.72,0.43
ca73,7,1.191785983,1.103453673,1.001119125,1.116412468,1.083470208,0.05,0.05,0.24,0.07,0.14
ca73,10,1.357084357,1.076189296,0.940758175,1.071216564,0.989807951,0.04,0.05,0.34,0.08,0.15
ca73,13,0.620789779,1.058027619,0.972812084,1.127498466,1.035407435,0.03,0.06,0.2,0.02,0.05
ca74,1,0.3,0.53125,1.433333333,0,0.534482759,0.89,0.49,0.38,0.6,0.69
ca74,4,3.416666667,1.888888889,1.766891892,1.279487179,1.114537445,0.09,0.03,0.01,0.11,0.33
ca74,7,0.611111111,1.257575758,1.251824818,0.666666667,0.795555556,0.17,0.09,0.02,0.32,0.41
ca74,10,0.4375,1.384615385,1.450549451,0.948051948,1.089527027,0.18,0.07,0.02,0.12,0.25
ca74,13,0.708333333,1.195512821,1.155660377,0.657992565,0.685454545,0.18,0.14,0.07,0.33,0.44
ca75,1,2.032871972,0.441176471,0.910915935,0.988404453,0.530985915,0.04,0.42,0.54,0.45,0.83
ca75,4,0.966336634,1.023333333,1.014438348,0.988248518,0.869138008,0.14,0.09,0.39,0.46,0.97
ca75,7,1.785377359,1.267157992,1.043312241,1.079085078,0.945685869,0.01,0.04,0.13,0.31,0.75
ca75,10,1.340178571,1.180975172,0.969288218,0.950666325,0.942132088,0.02,0.01,0.22,0.39,0.42
ca75,13,1.493188011,1.092426507,0.979860671,0.993727786,1.041639128,0.01,0.01,0.09,0.34,0.24
ca76,1,0.357142857,1.482758621,1.301587302,4.333333333,0.617647059,0.97,0.52,0.09,0.23,0.38
ca76,4,0.222222222,1.32,1.158823529,0.921052632,0.989247312,1,0.43,0.2,0.11,0.3
ca76,7,6.5,1.557971014,1.201834862,1.111764706,0.970238095,0.3,0.19,0.16,0.13,0.28
ca76,10,1.21875,0.922131148,1.013157895,0.858267717,1,0.33,0.48,0.2,0.37,0.26
ca76,13,0.85,0.989247312,1.133640553,0.931654676,1.14028777,0.31,0.34,0.18,0.37,0.16
ca77,1,1.798672566,1.594801223,0.958517699,0.814876033,0.509169364,0.1,0.01,0.02,0.12,0.6
ca77,4,0.818584071,1.172675934,1.07584207,0.952622541,0.938111849,0.27,0.02,0.05,0.24,0.62
ca77,7,0.898148148,1.265908476,1.103612865,0.932139491,0.9468675,0.43,0.02,0.03,0.3,0.7
ca77,10,0.793378995,1.1875,0.976293653,0.809941814,0.899991575,0.48,0.06,0.06,0.7,0.88
ca77,13,0.705696203,1.131612667,1.011864221,0.861547334,0.96642938,0.59,0.08,0.15,0.65,0.86